2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-0.777935943,-1.188186246,-1.470150496,-1.595639068,-1.703783318,-1.781026631,-1.811246341,-1.877489851,-1.963215611,-2.042985048,-2.133474239,-2.01694146,-1.888206999,-1.955320006,-2.057265243,-2.169130106,-2.243779902,-2.264688494,-2.408696463,-2.516079661,-2.624262199,-2.76132205
51.12782588,51.13916289,51.14534576,51.15106704,51.15660651,51.16191651,51.16753037,51.17280211,51.17753547,51.18224912,51.18559994,51.18708534,51.18750148,51.18633612,51.18303979,51.17688005,51.16769013,51.15316754,51.13426549,51.11472674,51.08979893,51.05924642
1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000
35.79215005,34.42124755,32.79687615,31.20067256,29.69545324,28.15215532,26.97155256,26.29381293,25.82958272,25.51828911,25.30488789,25.17196477,25.1997569,25.3306152,25.49907889,25.62929713,25.77049783,26.05088438,26.22374008,26.1940059,25.98154983,25.53847484
0.711497087,0.75257237,0.794355927,0.838395226,0.889325971,0.943841107,0.993359145,1.041809877,1.095482034,1.148720683,1.202817707,1.255820814,1.306819089,1.366491144,1.428686404,1.486431142,1.541655223,1.589787139,1.636927547,1.682118426,1.725209775,1.773971689
1.798616882,1.852606011,1.906894424,1.96920657,2.035795205,2.091288165,2.142923628,2.189563538,2.214162563,2.216049128,2.219343708,2.236048741,2.248821583,2.255523062,2.281219328,2.32572464,2.388164449,2.48568146,2.62082434,2.779701186,2.979918813,3.196992428
6.194360956,6.386878987,6.576058463,6.756742442,6.914271448,7.063056784,7.222095638,7.369204949,7.496947279,7.626027429,7.770422193,7.944730511,8.152816674,8.392203847,8.661194712,8.991014011,9.362004621,9.776530023,10.23092224,10.69753532,11.1942588,11.66507426
2.589056638,2.645721679,2.698233411,2.724202516,2.722405928,2.721410235,2.735071664,2.74406237,2.744608126,2.766603584,2.809705978,2.87304751,2.980028019,3.130281836,3.304048563,3.521960586,3.754323375,4.006197955,4.26347995,4.492726683,4.697533812,4.838533392
3.563290265,3.627968293,3.751527015,3.933714855,4.146406954,4.410132954,4.689303504,4.993326064,5.294853814,5.550301846,5.767825434,5.899794479,5.972360252,5.965089242,5.767498636,5.421705269,5.071972203,4.957184118,5.329491341,5.976875337,6.656233088,7.359311769
6.582720504,6.726922168,6.807812468,6.798511818,6.57209733,6.173744139,5.76871547,5.626611334,6.022793815,6.718887582,7.440821925,8.173960199,8.555422382,8.529478743,8.517259078,8.60103705,8.680264179,8.748010403,8.69825526,8.480196916,8.133685039,7.714955388
8.203302857,9.003709264,9.424761146,9.396271243,9.377431483,9.458466852,9.529944692,9.588988581,9.506028441,9.224455479,8.79542859,8.282590908,7.772039512,7.273937609,6.90290355,6.737045454,6.741048092,6.915764086,7.1154705,7.235570802,7.384249425,7.594123241
9.581160387,9.013852021,8.457196633,7.914996689,7.507532748,7.31841658,7.310193857,7.486456148,7.679690197,7.775096593,7.890840506,8.060250657,8.250121662,8.479310816,8.749020686,9.003638158,9.003199974,8.648218584,8.212250456,7.750174416,7.198337048,6.76351728
68.54547244,69.09541946,69.79273708,70.50086743,71.19266749,71.92589336,72.45969398,72.72013858,72.87353752,72.93735327,72.9288796,72.84686481,72.6444674,72.35233192,72.00595844,71.62337797,71.19571189,70.6489643,70.12939609,69.71637325,69.37661758,69.18217451
68.67551962,69.24349082,69.95402332,70.67356922,71.3702045,72.09817111,72.62482787,72.87927163,73.0246568,73.07814289,73.05253254,72.94734245,72.72200865,72.39868546,72.00544819,71.55714771,71.05154031,70.41865841,69.80414973,69.2929508,68.8463258,68.53930421
10.11534915,10.09598588,9.686845049,9.179625768,8.633634409,7.978857454,7.445860149,7.127207824,6.862767547,6.629429626,6.460159673,6.332442003,6.211849535,6.122320401,6.070082264,6.021603763,5.998369324,6.034470456,6.115632399,6.2257028,6.330773224,6.417547784
24.53389834,23.78350535,22.88983754,21.99674482,21.14098532,20.24868918,19.54350443,19.1208972,18.82293062,18.6123647,18.45457124,18.33698716,18.30622916,18.3272908,18.36085612,18.35656836,18.34748936,18.40468004,18.39055059,18.26151093,18.02512046,17.66807221
23.64406264,22.86700305,21.95242326,21.04325724,20.17575442,19.27777581,18.56661987,18.13406574,17.82631917,17.60739753,17.44369002,17.32270785,17.28858203,17.30764834,17.34226481,17.344149,17.34450885,17.40992621,17.40867652,17.2999443,17.08884214,16.76199637
69.723,70.162,70.538,70.91,71.275,71.619,72.043,72.248,72.389,72.831,73.08,73.368,73.613,73.884,74.134,74.379,74.582,74.433,75.046,75.298,75.305,
29.9,27.8,25.6,23.4,21.4,19.4,17.7,16.2,14.8,13.6,12.5,11.5,10.6,9.8,9,8.3,7.6,7,6.4,5.9,5.5,
6.45,6.43,6.41,6.4,6.42,6.51,6.81,6.93,7.06,7.08,7.11,7.14,7.13,7.13,7.12,7.07,7.04,7.06,7.08,7.09,7.07,
9.911,9.33,8.749,8.4572,8.1654,7.8736,7.5818,7.29,7.3074,7.3248,7.3422,7.3596,7.377,7.4286,7.4802,7.5318,7.5834,7.635,7.643,7.651,7.659,
110967,117403,132099,132390,134708,124086,140584,149087,175169,180546,184601,190369,193449,195121,210793,212911,207768,207716,212039,212863,175361,170200
3.611000061,4.208000183,4.693999767,5.068999767,4.968999863,5,4.900000095,4.809999943,5.073999882,5.217000008,5.005000114,5.027999878,5.051000118,5.073999882,5.097000122,5.119999886,5.011000156,4.913000107,4.736999989,5.004000187,5.531000137,5.261000156
6.870999813,8.027000427,8.944000244,9.631999969,9.421999931,9.484999657,9.31400013,9.178999901,9.739999771,10.09300041,9.779999733,9.947999954,10.13199997,10.32800007,10.51500034,10.68200016,10.54800034,10.41399956,10.09500027,10.71000004,11.93000031,11.35099983
2.722457625,2.716975515,2.691388268,2.708004725,2.820549946,2.841550964,2.864732179,3.005515098,3.178837429,3.151973977,3.328867244,3.524467707,3.560967922,3.663644791,3.758849859,3.87069726,3.988837242,4.183811188,4.229198019,4.208339899,4.178659069,4.187341612
52247507312,68877116080,1.05E+11,1.37E+11,1.68E+11,1.67E+11,1.84E+11,2.16E+11,2.13E+11,1.54E+11,1.84E+11,98315061346,13197719784,-32381982925,,,,,,,,
-14665541196,-19173026755,-14945148120,-10218488498,-5131610464,-16108690294,-5142352827,8040661169,28565223681,-8532080922,-26071897189,-70376627421,-19817589004,-77827211317,13299595835,-52782008188,-55700290899,-16130804618,-61028947257,-40009260199,-1.18E+11,-1.62E+11
4.33E+11,4.99E+11,5.72E+11,7.04E+11,8.93E+11,1.05E+12,1.33E+12,1.78E+12,2.38E+12,2.57E+12,3.12E+12,3.72E+12,4.15E+12,4.53E+12,4.99E+12,5.02E+12,4.99E+12,5.53E+12,6.18E+12,6.25E+12,6.45E+12,7.96E+12
7.723497494,7.315187454,8.782183022,9.73444215,9.802247316,10.27350184,12.63791724,14.09043299,9.510284289,8.02117144,9.810625425,8.404532299,7.892665466,6.43296811,7.754741476,5.779628467,6.21565079,6.694100014,5.925336163,5.746572611,1.470910331,7.891984575
4.31E+12,4.66E+12,5.11E+12,5.64E+12,6.23E+12,6.91E+12,7.83E+12,8.98E+12,9.88E+12,1.07E+13,1.18E+13,1.29E+13,1.40E+13,1.50E+13,1.63E+13,1.73E+13,1.85E+13,1.99E+13,2.11E+13,2.24E+13,2.28E+13,2.46E+13
